"","Rank","Titulo","Runtime","Genero","Director","Actor"
"81",81,"The Babysitter: Killer Queen",123,"Comedy","McG","Lily James"
"82",82,"Rebecca",103,"Drama","Ben Wheatley","Andrea Riseborough"
"83",83,"Possessor",95,"Horror","Brandon Cronenberg","Kristen Stewart"
"84",84,"Amenaza en lo profundo",95,"Action","William Eubank","Colin Firth"
"85",85,"Supernova",89,"Drama","Harry Macqueen","Riz Ahmed"
"86",86,"Mogul Mowgli",134,"Drama","Bassam Tariq","Joey King"
"87",87,"The Kissing Booth 2",88,"Comedy","Vince Marcello","Dorothy Adams"
"88",88,"The Very Excellent Mr. Dundee",96,"Comedy","Dean Murphy","Jessica Chastain"
"89",89,"Ava",100,"Action","Tate Taylor","Kaitlyn Chalmers-Rizzato"
"90",90,"The Kid Detective",111,"Comedy","Evan Morgan","Mark Wahlberg"
"91",91,"Spenser Confidential",91,"Action","Peter Berg","Jessica Rothe"
"92",92,"All My Life",126,"Drama","Marc Meyers","Vanessa Kirby"
"93",93,"Pieces of a Woman",100,"Drama","Kornél Mundruczó","YaYa Gosselin"
"94",94,"We Can Be Heroes",103,"Action","Robert Rodriguez","Adam Sandler"
"95",95,"Hubie Halloween",102,"Comedy","Steven Brill","Tom Holland"
"96",96,"Unidos",90,"Animation","Dan Scanlon","Anna Kendrick"
"97",97,"Trolls 2: World Tour",95,"Animation","Walt Dohrn","Bobby Soto"
"98",98,"The Tax Collector",124,"Action","David Ayer","Amrinder Gill"
"99",99,"Chal Mera Putt 2",100,"Drama","Janjot Singh","Harrison Ford"
"100",100,"El llamado salvaje",120,"Adventure","Chris Sanders","Vanessa Kirby"
